Date,Rolling,EWMA,"GARCH(1,1)"
2025-04-08,,0.811218,0.644261
2025-04-09,,0.811218,0.619925
2025-04-10,,0.962355,0.655910
2025-04-11,,0.948120,0.628101
2025-04-14,,0.932168,0.600570
2025-04-15,,0.907742,0.571152
2025-04-16,,0.880119,0.542164
2025-04-17,,0.867166,0.521991
2025-04-21,,0.842473,0.496947
2025-04-22,,0.820350,0.474919
2025-04-23,,0.805954,0.457293
2025-04-24,,0.786973,0.438584
2025-04-25,,0.766294,0.420159
2025-04-28,,0.743143,0.401672
2025-04-29,,0.720680,0.384544
2025-04-30,,0.699005,0.368744
2025-05-01,,0.678124,0.354210
2025-05-02,,0.657636,0.340717
2025-05-05,,0.654567,0.338174
2025-05-06,,0.646683,0.333079
2025-05-07,,0.627026,0.321311
2025-05-08,,0.609553,0.311560
2025-05-09,,0.591491,0.301681
2025-05-12,,0.573835,0.292584
2025-05-13,,0.605162,0.309841
2025-05-14,,0.588039,0.300478
2025-05-15,,0.570231,0.291500
2025-05-16,,0.553095,0.283405
2025-05-19,,0.536257,0.275843
2025-05-20,0.569945,0.521944,0.270290
2025-05-21,0.551835,0.507317,0.264785
2025-05-22,0.367775,0.500157,0.263843
2025-05-23,0.356372,0.485125,0.258242
2025-05-27,0.344716,0.485269,0.261462
2025-05-28,0.338702,0.480411,0.260486
2025-05-29,0.338724,0.465793,0.255000
2025-05-30,0.317624,0.451696,0.250156
2025-06-02,0.315497,0.438283,0.245753
2025-06-03,0.310026,0.425249,0.241771
2025-06-04,0.295163,0.413395,0.238480
2025-06-05,0.288282,0.400894,0.235270
2025-06-06,0.287204,0.390967,0.233632
2025-06-09,0.288683,0.384296,0.232846
2025-06-10,0.289048,0.375590,0.231784
2025-06-11,0.293123,0.364904,0.229352
2025-06-12,0.292397,0.361725,0.230957
2025-06-13,0.293775,0.350801,0.228412
2025-06-16,0.275968,0.344383,0.228302
2025-06-17,0.263172,0.336139,0.226731
2025-06-18,0.263577,0.330485,0.226873
2025-06-20,0.269196,0.320958,0.224864
2025-06-23,0.268751,0.322969,0.227080
2025-06-24,0.269072,0.313279,0.224949
