contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,mid_price,IV_calc,BS_price_from_yahoo_IV,lower_bound,time_value_mid,time_value_yahoo
AAPL260529C00110000,2026-05-01 15:08:35,110,170.83,168.2,172.05,8.830002,5.4506183,1,1,2.041508802,TRUE,REGULAR,USD,170.125,,172.3998009,170.453474,-0.3284740257,1.946326919
AAPL260529C00120000,2026-05-01 15:08:35,120,160.86,158.55,162.1,0,0,1,0,1.179691602,TRUE,REGULAR,USD,160.325,,160.5676177,160.4819703,-0.1569703328,0.08564740035
AAPL260529C00185000,2026-04-28 11:44:55,185,85.6,93.45,97.3,0,0,,6,0.6484410156,TRUE,REGULAR,USD,95.375,,95.80514168,95.66719633,-0.2921963284,0.1379453508
AAPL260529C00195000,2026-04-24 10:27:04,195,77.74,83.6,87.35,0,0,1,1,0.6210975391,TRUE,REGULAR,USD,85.475,,85.93889445,85.69569264,-0.2206926355,0.2432018153
AAPL260529C00200000,2026-04-23 15:27:09,200,74.86,78.55,82.2,0,0,2,79,0.5371140039,TRUE,REGULAR,USD,80.375,,80.84442453,80.70994079,-0.334940789,0.1344837446
AAPL260529C00205000,2026-04-17 13:42:39,205,66.48,73.75,77.45,0,0,6,26,0.5835002588,TRUE,REGULAR,USD,75.6,,76.09835573,75.72418894,-0.1241889425,0.3741667888
AAPL260529C00210000,2026-04-17 10:12:34,210,59.89,68.6,72.55,0,0,4,3,0.5380905566,TRUE,REGULAR,USD,70.575,,71.08516812,70.7384371,-0.163437096,0.3467310262
AAPL260529C00215000,2026-05-01 11:11:52,215,67.76,63.7,67.5,8.880001,15.081523,3,3,0.5058643164,TRUE,REGULAR,USD,65.6,,66.12250911,65.75268525,-0.1526852495,0.3698238641
AAPL260529C00220000,2026-05-01 11:11:52,220,62.85,58.75,62.65,14.369999,29.641087,3,33,0.7098417688,TRUE,REGULAR,USD,60.7,,63.25691875,60.7669334,-0.06693340302,2.489985349
AAPL260529C00225000,2026-04-23 13:56:05,225,48.93,54.2,56.85,0,0,2,4,0.591800957,TRUE,REGULAR,USD,55.525,,57.44101666,55.78118156,-0.2561815565,1.659835099
AAPL260529C00230000,2026-05-01 09:48:44,230,53.7,49,51.95,15.920002,42.138706,10,15,0.5542036768,TRUE,REGULAR,USD,50.475,,52.55058677,50.79542971,-0.3204297101,1.755157058
AAPL260529C00235000,2026-04-30 15:06:44,235,39.91,44.4,47,0,0,26,70,0.5118457019,TRUE,REGULAR,USD,45.7,,47.60776212,45.80967786,-0.1096778636,1.79808426
AAPL260529C00240000,2026-04-30 15:59:51,240,34,39.45,42.1,0,0,23,59,0.4729056616,TRUE,REGULAR,USD,40.775,,42.71411851,40.82392602,-0.04892601708,1.89019249
AAPL260529C00245000,2026-05-01 10:16:49,245,42.36,34.65,37.25,12.92,43.885868,4,33,0.4364070032,TRUE,REGULAR,USD,35.95,0.2358356642,37.86977861,35.83817417,0.1118258294,2.031604442
AAPL260529C00250000,2026-05-01 15:02:25,250,31.8,30.1,32.3,6.3499985,24.950876,42,361,0.3920959229,TRUE,REGULAR,USD,31.2,0.2501100585,32.9213312,30.85242232,0.3475776759,2.068908874
